titulo;metro_quadrato;qtd_quarto;qtd_banheiro;qtd_vaga_carro;valor
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 110.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 110.000
Apartamento com  Quarto à Venda, 31m²;31;1;1;--;R$ 110.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.001
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 110.001
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 110.010
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 110.840
Apartamento com  Quarto para Venda/Aluguel 16m²;16;1;1;--;R$ 111.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 111.073
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 111.073
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;--;R$ 111.439
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 111.439
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;--;R$ 111.439
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;1;R$ 113.611
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;1;R$ 113.611
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;1;R$ 113.611
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;--;R$ 113.611
Apartamento com 2 Quartos à Venda, 54m²;54;2;1;1;R$ 114.570
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;1;R$ 115.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 115.000
Apartamento com  Quarto à Venda, 22m²;22;1;1;--;R$ 115.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 115.000
Apartamento com  Quarto à Venda, 36m²;36;1;1;1;R$ 115.000
Apartamento com  Quarto à Venda, 42m²;42;1;1;--;R$ 115.000
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;--;R$ 115.000
